acceleration_x_mean,acceleration_x_std,acceleration_y_mean,acceleration_y_std,acceleration_z_mean,acceleration_z_std,gyro_x_mean,gyro_x_std,gyro_y_mean,gyro_y_std,gyro_z_mean,gyro_z_std,activity_mean
0.43651999999999996,0.11773316015464802,-0.9199200000000001,0.220138108922558,-0.11554,0.13184127957510122,0.009000000000000018,0.48388911436402454,0.03524000000000001,0.19724019113760766,0.02030000000000003,1.895565821859004,0
0.43866000000000005,0.14272968506936462,-1.0405799999999998,0.2733392068474627,-0.08794,0.11042772749631317,-0.06410000000000002,0.4770824247444041,0.06658,0.44173999366142974,0.09952000000000005,1.9222020255425807,0
0.45006,0.21085934411355828,-1.02668,0.34112083929305753,-0.07218,0.10483728821368855,-0.008299999999999997,0.25259050853110054,-0.01591999999999998,1.1967488383115317,0.03966000000000003,1.9844807502215787,0
0.43134000000000006,0.14379811542575932,-1.00856,0.21362245434410687,-0.04954,0.12207382192755334,-0.08530000000000001,0.4088852834231137,0.05476000000000001,0.9102162122265236,0.07809999999999997,1.7963972319617953,0
0.40191999999999994,0.12160111841590932,-0.9734,0.29696637014988747,-0.058660000000000004,0.08666881215293076,-0.12772,0.3984078274833465,0.22637999999999997,0.5032708684197804,0.039139999999999994,1.7837297883928493,0
0.44032,0.09766499884810322,-0.9680399999999999,0.2914898849016891,-0.08206,0.07365190425236812,0.0009399999999999964,0.3450352706608413,-0.28236,0.5921237564901445,0.09412000000000002,1.5911329397633625,0
0.40784000000000004,0.12399168520509753,-0.8754,0.19012875900294515,-0.10626,0.08851343400862943,-0.05571999999999999,0.5179095693265379,0.21056,0.5068659122489891,0.028960000000000007,1.7282350774706547,0
0.40815999999999997,0.07258521199252642,-0.9778800000000001,0.2124648253240993,-0.09795999999999999,0.0867457376474487,-0.07002,0.29423101807933166,0.21448,0.43367825285573175,0.10258000000000003,1.7934913958533505,0
0.38415,0.09666149698820106,-0.9919500000000001,0.11561195872400054,-0.06290000000000001,0.1472196318430392,0.03995,0.28828743468975543,0.007550000000000001,0.4219306163340129,0.45489999999999986,2.7376346140418373,0
0.32685,0.1035911434438292,-0.67325,0.06866006845321374,-0.07164999999999999,0.03627457787486988,0.11314999999999999,0.4133039136035371,0.24609999999999999,0.2503158005400378,-0.7712499999999999,2.943756240757716,0
